vocab_func,target_pct,accuracy_mean,accuracy_std,accuracy_se,f1_mean,f1_std,f1_se
pick_baseline_frequent,0,6.10,23.95,0.76,7.80,25.78,0.82
pick_baseline_frequent,0.1,11.80,32.28,1.02,21.25,36.12,1.14
pick_baseline_frequent,0.25,22.60,41.84,1.32,34.76,42.66,1.35
pick_baseline_frequent,0.5,42.70,49.49,1.56,53.30,46.02,1.46
pick_baseline_frequent,0.75,60.10,48.99,1.55,69.18,42.89,1.36
pick_baseline_frequent,1.0,74.70,43.49,1.38,83.08,34.08,1.08
pick_baseline_random,0,6.10,23.95,0.76,7.80,25.78,0.82
pick_baseline_random,0.1,10.30,30.41,0.96,16.03,33.51,1.06
pick_baseline_random,0.25,15.60,36.30,1.15,25.09,38.97,1.23
pick_baseline_random,0.5,29.10,45.45,1.44,45.80,43.57,1.38
pick_baseline_random,0.75,45.30,49.80,1.57,63.42,42.06,1.33
pick_baseline_random,1.0,74.70,43.49,1.38,83.08,34.08,1.08
pick_entropy,0,6.10,23.95,0.76,7.80,25.78,0.82
pick_entropy,0.1,16.20,36.86,1.17,25.85,39.31,1.24
pick_entropy,0.25,28.80,45.31,1.43,41.80,44.51,1.41
pick_entropy,0.5,49.70,50.02,1.58,63.09,43.66,1.38
pick_entropy,0.75,69.10,46.23,1.46,77.72,38.37,1.21
pick_entropy,1.0,74.70,43.49,1.38,83.08,34.08,1.08
pick_kl_divergence,0,6.10,23.95,0.76,7.80,25.78,0.82
pick_kl_divergence,0.1,15.60,36.30,1.15,25.03,38.81,1.23
pick_kl_divergence,0.25,28.40,45.12,1.43,41.38,44.43,1.40
pick_kl_divergence,0.5,49.40,50.02,1.58,63.95,42.93,1.36
pick_kl_divergence,0.75,69.00,46.27,1.46,78.43,37.52,1.19
pick_kl_divergence,1.0,74.70,43.49,1.38,83.08,34.08,1.08
